Acronym,Definition,Source(s)
AA2,Adjustable Aperture (Design #2),LCLS-II_X-ray_Transport_and_Experimental_Systems_Controls_Engineering_Specifications.pdf page 3
AACE,American Association of Cost Engineers,LCLSII-HE-1.6-SW-0433.pdf page 3
AC,Alternating Current,CDR-full.pdf page 507
ACC39,3.9-GHz ACCelerating cryomodule,CDR-full.pdf page 507
ACGIH,American Conference of Governmental Industrial Hygienists,Splicing_of_12kV_cables_for_Energy_Isolation_and_Portable_Substations_Full_PDF.pdf page 2
ACH,Air Changes per Hour,ODHA_PM.pdf page 4
ACH,Air Exchanges per Hour,CDR-full.pdf page 507
ACL,Access Control List,LCLSII-HE-1.5-ES-0326.pdf page 4
ACM,"Average Current Monitor, used as a BCS device to limit beam current.",Beam_Containment_Controls_PRD.pdf page 4
ACM,"Average Current Monitor. In this document, ACM refers to the LCLS-II cavity- based ACMs (Ref: ACM ESD).",LCLS-II_Beam_Containment_System_ESD.pdf page 5
ACM,"Average Current Monitor, used as a BCS device to limit beam current",LCLS-II_Beam_Containment_System_PLC_ESD.pdf page 3
ACM,Asbestos Containing Material,Splicing_of_12kV_cables_for_Energy_Isolation_and_Portable_Substations_Full_PDF.pdf page 2
ACM,Average Charge Monitor,LCLSII-HE-1.3-PR-0022.pdf page 2
ACM,Average Current Monitor,Beam_Containment_System_Software_Firmware_Configuration_Control_ESD.pdf page 2
ACORNYMS,DESCRIPTION,LCLSII-HE-1.7-SW-0447.pdf page 23
ACR,Accelerator Control Room (located in Building 52. Formerly MCC in Building 05),Oxygen_Deficiency_Hazard_Engineering_Controls.pdf page 5
ACR,SLAC Accelerator Control Room – where LCLS-II Operators will control the LCLS-II,LCLS-II_Vacuum_Controls_Requirements.pdf page 2
ACR,Access Control Room Located in Building 52. Staffing is generally 24-7 only during the operation of radiation hazards.,ODH_Controls.pdf page 5
ACR,Accelerator Control Room. Accelerator beamlines are operated from the ACR in B52. See also MCC.,RSS_Controls.pdf page 5
ACR,Accelerator Control Room (B052),HRS.CT.HW-OP-SLAC-Controls-CCI-Check.pdf page 3
ACR,Accelerator Control Room,LCLSII-HE-1.5-FR-0711.pdf page 5
ACR,SLAC Accelerator Control Room – where LCLS-II operators will control the LCLS-II.,Early_Injector_Commissioning_(EIC)_Personnel_Protection_System_Functional_Requirements.pdf page 2
ACRONYM,DESCRIPTION,LCLSII-HE-1.6-SW-0433.pdf page 3
ACS,Acceptance Criteria Strategy,Systems_Engineering_Management_Plan.pdf page 4
ACS,Access Control System (ACS): A control system that prevents or controls access by personnel to hazardous areas deemed unsafe due to prompt radiation production. It includes engineered and/or administrative systems. ANSI/HPS N43.1-2011 Section 2.2,RSS_Controls.pdf page 5
ACS,Access Control System (ACS): A control system that prevents or controls access by personnel to hazardous areas deemed unsafe due to prompt radiation production. It includes engineered and/or administrative systems.” ANSI/HPS N43.1-2011 Section 2.2,Radiation_Safety_System_Controls.pdf page 3
ACS,Accelerator Cooling Systems for Linac Sectors,LCW.pdf page 2
ACS,Accelerator Cooling System,CDR-full.pdf page 507
ACS,Accelerator Cooling System (rad system @ 45C),LCLSII-HE-1.6-RD-0291.pdf page 3
ACSW,Network controlled AC power switches,LCLSII-HE-1.5-ES-0326.pdf page 4
AC_PLC,PPS Access Control PLC (Siemens S7-1500 series processor),LCLS-II_EIC_AC_PLC_PPS_EPICS_Support_SOW.pdf page 3
AD,Accelerator Department,LCLSII_BSY_Anchors_Drilling_and_Stands_Installation.pdf page 2
AD,Accelerator Directorate,LCLS-II_LCLS_CLTS.pdf page 2
AD QA,Accelerator Directorate Quality Assurance,Oxygen_Deficiency_Monitoring_Controls.pdf page 3
AD-EED,Accelerator Directorate – Electronics Engineering Division,RSS_Controls.pdf page 5
AD-ICD,Accelerator Directorate – Integrated Controls Division,PPS_to_InfrastructureSystems.pdf page 2
ADA,American Disabilities Act,Fire_Sprinkler_Overpressure_Solution.pdf page 3
ADC,Analog-to-Digital Converter,High_Performance_System_Common_Platform_to_Timing_MPS_Diagnostics_ICD.pdf page 2
ADC,Analog to Digital Converter,CDR-full.pdf page 507
ADES_MAX_SRF,The maximum usable amplitude as defined by the SRF group. The initial value will be 16.6 MV or the useable amplitude as determined at the partner labs.,LCLS-II_Cryomodule_Non-Expert_User_Manual.pdf page 2
ADS,Adsorber,HRS.00.00-SR-SLAC-SRR-7-Electrical_Report.pdf page 6
ADS,"Automation Device Specification, Beckhoff PLC vendor interface",Statement_of_Work_for_XTES_SXR_Vacuum_Control_System_Design_and_Implementation.pdf page 2
ADS,Air Disconnect Switch,Sectors_0_to_9_Electrical_Work_Plan_for_Modulators_Relocation.pdf page 2
ADSO,Accelerator Department Safety Office,RSS_Controls.pdf page 5
AEC,Atomic Energy Commission,Fire_Hazard_Analysis.pdf page 35
AEC,Auxiliary Encoders Chassis,LCLSII-HE-1.5-ES-0316.pdf page 3
AED QA,Accelerator Engineering Directorate Quality Assurance,Linac_Oxygen_Deficiency_Monitoring_Controls.pdf page 3
AFE,Analog Front End electronics.,CDR-full.pdf page 507
AHJ,Authority Having Jurisdiction (Electrical Safety Officer),Cryoplant_Electrical_Safety_Review_Plan.pdf page 5
AHJ,"Authority Having Jurisdiction. For the PPS design, the AHJ is the RSO, Sayed Rokni (or his delegate)",PPS_to_InfrastructureSystems.pdf page 2
AHJ,"Authority Having Jurisdiction. For the PPS and BCS designs, the AHJ is the RSO,",RSS_Controls.pdf page 5
AHJ,Authority Having Jurisdiction,Sectors_0_to_9_Electrical_Work_Plan_for_Modulators_Relocation.pdf page 2
AHU,Air Handling Unit,LCLSII-HE-1.6-RD-0337.pdf page 3
AIR,TID Advanced Instrumentation for Research,Bunch_Charge_Monitor_BCM_Controls_Functional_Requirements.pdf page 3
AISC,American Institute of Steel Construction,LCLS-II_CDS_Distribution_Boxes_(DB)_Relief_Discharge_Piping.pdf page 7
AL,Action Level,Splicing_of_12kV_cables_for_Energy_Isolation_and_Portable_Substations_Full_PDF.pdf page 2
ALARA,As Low As Reasonably Achievable,Splicing_of_12kV_cables_for_Energy_Isolation_and_Portable_Substations_Full_PDF.pdf page 2
ALICE,Accelerators and Lasers In Combined Experiments,CDR-full.pdf page 507
ALPEMA,Aluminum Plate-Fin Heat Exchangers Manufacturers’ Association,LCLSII-HE-1.3-TS-0393.pdf page 6
ALPEMA,Aluminum Plate-Fin Heat Exchangers Manufactures’ Association,LCLSII-HE-1.7-SW-0447.pdf page 23
ALS,Advanced Light Source (at LBNL),CDR-full.pdf page 507
AMBA,Advanced Microcontroller Bus Architecture,HPS_Common_Platform_Engineering_Specification.pdf page 3
AMC,Advanced Mezzanine Card,High_Performance_System_Common_Platform_to_Timing_MPS_Diagnostics_ICD.pdf page 2
AMC,Advanced Mezzanine Card. Is connected to a carrier board.,HPS_for_the_XTES_GMD_upgrade_and_XGMD_FR.pdf page 2
AMO,"Atomic, Molecular & Optical science instrument at LCLS",CDR-full.pdf page 507
AMO,"Atomic, Molecular and Optical Science",Fire_Hazard_Analysis.pdf page 35
AMPFB_GAIN_I,Amplitude feedback integral gain,LCLSII-HE-1.5-FR-0258.pdf page 20
AMPFB_GAIN_P,Amplitude feedback proportional gain,LCLSII-HE-1.5-FR-0258.pdf page 20
AMS,Atmospheric Monitoring Systems. ODH safety system controls are a subsystem of AMS. Explosive levels of a gas inside a tunnel are also a subsystem of AMS. These are systems that are typically managed with Atmospheric Monitoring System Configuration Control Forms by Operations.,RSS_Controls.pdf page 5
AMS,Air Monitoring Stations (for effluent monitoring),Environmental_radiation_monitoring.pdf page 2
AMS,Atmospheric Monitoring Systems. ODH safety system controls are a subsystem of AMS. Explosive levels of a gas inside a tunnel are also a subsystem of AMS.,ODH_Controls.pdf page 5
AMS,Air Monitoring Systems,CDR-full.pdf page 507
ANL,Argonne National Laboratory,CDR-full.pdf page 507
ANL,Analyzer,HRS.00.00-SR-SLAC-SRR-2-Electrical_Report.pdf page 5
ANSI,American National Standards Institute,Cryoplant_GHe_Tanks_and_LN2_Dewar_Anchoring_and_Rigging.pdf page 3
ANST,American Society for Non-Destructive Testing,LCLS-II_CDS_Distribution_Boxes_(DB)_Relief_Discharge_Piping.pdf page 7
ANSYS,Workbench 17.0,LCLS-II_LTU_Support_Structures_Analysis.pdf page 2
AOM,Acousto-Optic Modulator,CDR-full.pdf page 507
AOM,Acoustic Optical Modulator,LCLS-II_Beam_Containment_System_ESD.pdf page 5
AOM,"Acosto-Optic Modulator. This is part of the drive laser system, used by BCS to shut-off the electron beam in LCLS-II.",Beam_Containment_Controls_PRD.pdf page 4
AOR,Area of Refuge,Linac_Housing_Ventilation_Functional_Requirements_Document.pdf page 3
AOR,"Area of Refuge Example: For life safety, the Linac shafts will be modified to provide an area of refuge to allow for evacuation up the ladders in the event of a fire or oxygen deficiency life safety event. It is assumed a fire-rated barrier with a door will be installed at the base of egress shafts for the SC Linac.",Oxygen_Deficiency_Hazard_Engineering_Controls.pdf page 5
AOR,"Area of Refuge For life safety, the LINAC shafts will be modified to provide an area of refuge to allow for evacuation up the ladders in the event of a fire or oxygen deficiency life safety event. A fire-rated barrier with a door will be installed at the base of egress shafts for the SC LINAC.",ODH_Controls.pdf page 5
AOSD,Accelerator Operations and Safety Division,Early_Injector_Commissioning_(EIC)_Personnel_Protection_System_Functional_Requirements.pdf page 2
APEX,Advanced Photoinjector Experiment,CDR-full.pdf page 507
APEX,Advanced Photo-injector Experiment,Injector_Mechanical_Specifications.pdf page 3
API,Application Programming Interface,High_Performance_System_Common_Platform_to_Timing_MPS_Diagnostics_ICD.pdf page 2
APS,AD ICD Accelerator Power Systems,Sectors_0_to_9_Electrical_Work_Plan_for_Modulators_Relocation.pdf page 2
APS,Advanced Photon Source (at ANL),CDR-full.pdf page 507
AQM,Air Quality Monitor. ESH and operations have air monitors at high loss points for periodic sampling of air. These monitors are not all interlocked to the PPS Access Controls.,RSS_Controls.pdf page 5
ARO,After Receipt of Order,LCLSII-HE-1.3-SW-0618.pdf page 4
ARO,After Receipt of Order (TM),LCLS_2_Cryomodule_Transporter_SOW.pdf page 3
ARP,Address Resolution Protocol,HPS_Common_Platform_Engineering_Specification.pdf page 3
ARPES,Angle Resolved Photoemission Spectroscopy,CDR-full.pdf page 507
ARR,Accelerator Readiness Review,AcceptanceCriteria_and_TransferSystems.pdf page 4
AS,Accelerator Systems,Accelerator_Systems_to_Cryogenic_Systems.pdf page 3
ASCE,American Society of Civil Engineers,LCLSII-HE-1.3-TS-0393.pdf page 6
ASE,Accelerator Safety Envelope,LCLS-II_Readiness_Review_Process.pdf page 4
ASG,Advanced Study Group (of the Max Planck Society),XTES_to_Experimental_End_Stations.pdf page 3
ASME,American Society of Mechanical Engineers,LCLSII-HE-1.3-TS-0393.pdf page 6
ASME,American Society of Mechanical Engineering,Cryoplant_GHe_Tanks_and_LN2_Dewar_Anchoring_and_Rigging.pdf page 3
ASME,AAmerican Society of Mechanical Engineers,CDR-full.pdf page 507
ASME B31.3,ASME Process Piping Code. 2014 release.,Inspection_Examination_Services__SOW.pdf page 2
ASSY,Assembly,LCLSII-HE-1.4-PP-0756.pdf page 3
ASTA,Advanced Superconducting Test Accelerator,CDR-full.pdf page 508
ASTM,"ASTM International, known until 2001 as the American Society for Testing and Materials (ASTM), is an international standards organization that develops and publishes voluntary consensus technical standards for a wide range of materials, products, systems, and services.",LCLSII-HE-1.2-ES-0059.pdf page 3
ASTM,American Society for Testing and Materials,Cryoplant_GHe_Tanks_and_LN2_Dewar_Anchoring_and_Rigging.pdf page 3
ASTRA,A Space charge TRacking Algorithm code,CDR-full.pdf page 508
AT,Attenuator,LCLSII-3.5-TS-0017_-_Photon_Source_and_Systems_Nomenclature.pdf page 6
ATA,Air Transportation Association of America,LCLSII-HE-1.2-ES-0059.pdf page 3
ATCA,Advanced Telecommunications Computing Architecture,LCLS-II_LCLS_CLTS.pdf page 2
ATCA,"A mechanical/electrical standard for computing/networking, here used for the timing fanout system.",LCLSII-HE-1.5-ES-0691.pdf page 3
ATCA,Advanced Telecommunications Computing Architecture – the common platform architecture used at SLAC. The system is typically housed in a crate often referred to as an ATCA Crate,LCLSII_LLRF_link_to_BSA_MPS.pdf page 2
ATDS,Ambient-pressure Time-resolved Diffraction and Scattering,LCLSII-HE-1.4-ES-0477.pdf page 4
ATM,Atmospheric,HRS.00.00-SR-SLAC-SRR-7-Electrical_Report.pdf page 6
ATM,Arrival Time Monitor,LCLSII-HE-1.4-IC-0389.pdf page 3
AWG,American Wire Gauge (conductor sizes),0.433Q3.1_Quadrupole_Magnet.pdf page 2
AWS,American Welding Society,Cryoplant_GHe_Tanks_and_LN2_Dewar_Anchoring_and_Rigging.pdf page 3
AXI,Advanced eXtensible Interface,HPS_Common_Platform_Engineering_Specification.pdf page 3
AXIS,Advanced eXtensible Interface Streaming,HPS_Common_Platform_Engineering_Specification.pdf page 3
Accelerator Housing,The underground tunnel that houses the linear accelerator beamline. Building 001 on the SLAC campus,LCLS-II_LCLS_CLTS.pdf page 2
Accelerator Subsystem,"A particular Accelerator system such as LLRF or MPS or BPMs, etc.",Electron_Beam_Controls_Interfaces.pdf page 4
Accelerator Subsystem,Any accelerator instrument or subsystem that may interface to BLEN,Magnet_Power_Supply_Controls_Engineering_Specification.pdf page 3
Accelerator Subsystem,Any accelerator instrument or subsystem that may interface to BCM,Bunch_Charge_Monitor_BCM_Controls_Functional_Requirements.pdf page 3
Accelerator System,"A particular Accelerator System/Subsystem such as LLRF or MPS or BPMs, etc.",Early_Injector_Commissioning_(EIC)_Personnel_Protection_System_Functional_Requirements.pdf page 2
Al,Aluminum,Undulator_Vacuum_Chamber.pdf page 3
Attn,Attenuator,XTES_to_Experimental_End_Stations.pdf page 3
B750,Building 750 Collider Hall,Warm_Helium_Compressor_Installation__in_B905.pdf page 3
B905,Building 905 Cryo Building,C1_4.5_K_CBX_Rigging_and_Installation.pdf page 3
BAC,Budget at Completion,LCLSII-HE-1.1-PM-0557.pdf page 3
BACnet,Building Automation and Control Network,CDR-full.pdf page 508
BAHX,Brazed Aluminum Heat Exchangers,LCLSII-HE-1.7-SW-0447.pdf page 23
BAS,Beam Authorization Sheet,PPS_Requirements_(Electron_Beamlines).pdf page 3
BAS,Beam Authorization Sheet. The BAS is the ultimate document of record that lists all pre-running conditions (including required BCS devices) for accelerator beams.,Engineering_Note_for_Cu_2019_Downtime_Work.pdf page 2
BAS,Beam Authorization Sheet. The BAS is the ultimate document of record that lists all pre- running conditions (including required BCS devices) for accelerator beams.,Beam_Containment_Controls_PRD.pdf page 4
BBA,Beam Based Alignment,CDR-full.pdf page 508
BBA,Beam-Based Alignment,Undulator_Interspace_Support-Alignment_ESD.pdf page 2
BBA,Beam-Based Alignment (an undulator alignment procedure),LCLSII-HE-1.1-PR-0038.pdf page 3
BBF,Beam Based Feedback,SLAC_Injector_Source_Controls_to_LBNL_Injector_Source_Systems.pdf page 4
BBP,Blood Borne Pathogen,Energy_Isolation_Plan-S0-10_Linac_Removal.pdf page 5
BC,Beam Class,LCLS-II_SC_Timing_System_Checkout_Procedure_for_Gun_Restart.pdf page 3
BC1,Bunch Compressor #1,CDR-full.pdf page 508
BC1,Bunch compressor 1 By-pass,LCLS-II_CDS_Piping_UT_Examination_Service.pdf page 4
BC1,Bunch Compressor 1 Chicane,Machine_Protection_System_MPS_Controls_Functional_Requirements.pdf page 3
BC1,Bunch Compressor 1,BC1_COL1_Engineering_Specification.pdf page 2
"BC1, BC2, BC3","Bunch Compressor Chicane {1, 2, 3}",LCLS-II_General_Motion_and_Fast_Wire_Scanner_Controls_Functional_Requirements_Specification.pdf page 5
BC1B,Bunch Compressor Chicane 1B,LCLS-II_Bunch_Chicane_1B_Controls_Checkout_Procedure.pdf page 2
"BC1B, BC2B","Bunch Compressor Chicane {1, 2}",LCLS-II_General_Motion_and_Fast_Wire_Scanner_Controls_ESD.pdf page 3
BC2,Bunch Compressor 2 Chicane,Machine_Protection_System_MPS_Controls_Functional_Requirements.pdf page 3
BC2,Second bunch compressor chicane,BC2_and_Col2_Engineering_Specification.pdf page 2
BC2,Bunch Compressor #2,CDR-full.pdf page 508
BC2,Bunch Compressor 2,1.3_GHz_Cryomodule_Interfaces.pdf page 4
BC2,"BC2B, EMIT2",LCLSII-HE-1.1-PR-0018.pdf page 8
BC2B,Bunch Compressor Chicane 2B,LCLS-II_Bunch_Chicane_2B_Controls_Checkout_Procedure.pdf page 2
BC3,Bunch Compressor #3,CDR-full.pdf page 508
BCC,Buncher Cavity Cryomodule,LCLSII-HE-1.2-PR-0619.pdf page 3
BCM,Beam Current/Bunch Charge Monito,Bunch_Charge_Monitor_BCM_Controls_Functional_Requirements.pdf page 3
BCM,Beam Charge Monitor,SLAC_Injector_Source_Controls_to_LBNL_Injector_Source_Systems.pdf page 4
BCM,Bunch Charge Monitor System,Beam_Position_Monitor_BPM_Controls_Functional_Requirements.pdf page 2
BCM,Beam Current Monitor,Electron_Beam_Controls_Interfaces.pdf page 4
BCM,Bunch Charge Monitors,Bunch_Charge_Monitor_(BCM)_Monitor_Controls_Engineering_Specification.pdf page 3
BCM,Bunch Charge Monitor,HPS_Common_Platform_Functional_Requirements_Specification.pdf page 2
BCP,Buffered Chemical Polish,CDR-full.pdf page 508
BCR,Baseline Change Request,Systems_Engineering_Management_Plan.pdf page 4
BCS,"Beam Containment System. In the context of this FRS, this always refers to the electronic restraints and active components and does not refer to mechanical components such as shielding.",Engineering_Note_for_Cu_2019_Downtime_Work.pdf page 2
BCS,"Beam Containment System BCS: protects the integrity of beam protection collimators and PPS stoppers, prevents beam losses inside the accelerator enclosure that can cause unacceptable radiation levels outside the enclosure, and ensures beam operations remain within the operational safety envelope.",Radiation_Safety_System_Controls.pdf page 3
BCS,"Beam Containment System. In the context of this specification document, this always refers to the electronic restraints and active components and does not refer to the mechanical components such as shielding",LCLS-II_Beam_Containment_System_PLC_ESD.pdf page 3
BCS,Beam Containment System,LCLS-II_LCLS_CLTS.pdf page 2
BCS,Bardeen Cooper Schrieffer (theory of superconductivity),CDR-full.pdf page 508
BCS,"Beam Containment System (mechanical devices such as collimators, magnets, beam stoppers, beam dumps, and electronic devices such as average current monitors, burn-through monitors, and Beam Shutoff Ion Chamber)",LCLSII-HE-1.1-QA-0230.pdf page 6
BCS,"Beam Containment System. In the context of this document, this always refers to the electronic restraints and active components and does not refer to mechanical components such as shielding",Requirements_for_EBD_Beam-dump_Vacuum_Chamber_Protection.pdf page 3
BCS,"Beam Containment System. In the context of this PRD, this always refers to the electronic restraints and active components and does not refer to mechanical components such as shielding.",Beam_Containment_Controls_PRD.pdf page 4
BCS Electron,Beam Containment System for the Accelerator facility (electron enclosures). It provides permits to operate the accelerator facility.,Radiation_Safety_System_Controls.pdf page 3
BCS Photon,"Beam Containment System for photon experimental areas. These systems are localized safety systems that are inputs to the larger, expansive, BCS Electron. BCS Photon inhibits the injectors through the BCS Electron.",Radiation_Safety_System_Controls.pdf page 3
BD,Beam Dump,Fire_Hazard_Analysis.pdf page 35
BDF,Building distribution frame in telecommunications,CDR-full.pdf page 508
BDH,Beam Dump Hall,Air_Ventilation.pdf page 3
BER,Bit Error Rate,HPS_Common_Platform_Engineering_Specification.pdf page 3
BES,“The Office of” Basic Energy Sciences,LCLS-II_Readiness_Review_Support_Services.pdf page 2
BES,Office of Basic Energy Sciences,LCLSII-HE-1.2-TS-0206.pdf page 8
BESAC,Basic Energy Sciences Advisory Committee,CDR-full.pdf page 508
BFW,Beam Finder Wire,CDR-full.pdf page 508
BIO,"SLAC Building Inspection Office, the Authority Having Jurisdiction",LCLS-II_CDS_Distribution_Boxes_(DB)_Relief_Discharge_Piping.pdf page 7
BIO,Building Inspection Office,LCLSII-HE-1.6-SW-0799.pdf page 6
BIO,ESH Building Inspection Office,LCLS-II_Concrete_Foundations_CDS_Surface_Transfer_Lines.pdf page 5
BIO,Building Inspection Office (ES&H),BC2_and_Col2_Engineering_Specification.pdf page 2
BIO,"Building Inspection Office reviews installation plans for code compliance, safety, authorization to build or construct, inspections, and final occupancy or completion approval.",RSS_Controls.pdf page 5
BIO,SLAC Building & Inspection Office,LCLS-II_Cryoplant_C1_Commissioning_Plan.pdf page 5
BIO PRS,Building Inspection Office Plan Review System,EBD_Permanent_Ladder_Installation_Procedure.pdf page 3
BIW,Beam Imminent Warning,PPS_to_InfrastructureSystems.pdf page 2
BIW,Beam Imminent Warning Audio and visual warning in the PPS enclosures that the beam is about to come on and personnel need to push an emergency off button and leave. The audio warning is a siren sound alternated with instructions. The visual warning is the flashing of the overhead tunnel lights. The audio and visual warning is simultaneous with the exception of the LINAC accelerator enclosure.,RSS_Controls.pdf page 5
BLA,Beamline Authorization sheet. The equivalent of the BAS for photon hutches.,Beam_Containment_Controls_PRD.pdf page 4
BLA,Beam Line Absorber,LCLSII-HE-1.2-PR-0619.pdf page 3
BLD,Beam Line Data,CDR-full.pdf page 508
BLD,BeamLine Data. Collects data in the same clock pulse from many devices in the beamlines.,HPS_for_the_XTES_GMD_upgrade_and_XGMD_FR.pdf page 2
BLD,Beam Line Data. Collects data in the same clock pulse from many devices in the beamlines.,High-Performance_System_for_the_XTES_GMD_upgrade_and_XGMD_ESD.pdf page 3
BLD,Beam Line Data (synchronous multicast event data transmissions),LCLS-II_X-ray_Transport_and_Experimental_Systems_Controls_Engineering_Specifications.pdf page 3
BLEN,Bunch Length Monitor,HPS_Common_Platform_Functional_Requirements_Specification.pdf page 2
BLEN,Bunch Length,LCLSII-HE-1.5-FR-0320.pdf page 3
BLEN,Bunch Length Monitors,Bunch_Length_Monitor_BLEN_Controls_Engineering_Specification.pdf page 3
BLM,Bunch Length Monitor (unfortunately this acronym is overloaded),CDR-full.pdf page 508
BLM,Beam Loss Monitor,Undulator_Vacuum_Chamber.pdf page 3
BLM,Beam Loss Monitor. (unfortunately this acronym is overloaded),CDR-full.pdf page 508
BLRCUS,BEND,CLTS_Magnet_Power_Supplies.pdf page 3
BLRCUS,BEND:CLTS:280,LCLS-II_LCLS_CLTS.pdf page 4
BMPs,Best Management Practices,Splicing_of_12kV_cables_for_Energy_Isolation_and_Portable_Substations_Full_PDF.pdf page 2
BMS,Building Management System,Linac_Housing_Ventilation_Functional_Requirements_Document.pdf page 3
BNA,Baseline Needs Assessment,Fire_Hazard_Analysis.pdf page 35
BOA,Born Oppenheimer Approximation,CDR-full.pdf page 508
BOM,Bill of Material,LCLS-II_Vacuum_Controls_Support_SOW-FY20.pdf page 3
BPCS,"Basic Process Control System (as used in ANSI/ISA 84). For the accelerator region (gallery and LINAC tunnel), this is EPICS. For the cryogenics plant, this would be the Allen-Bradley PLC based plant control system.",Oxygen_Deficiency_Monitoring_Controls.pdf page 3
BPM,Beam Position Monitors,LCLS-II_Timing_System_Functional_Requirements.pdf page 2
BPM,Beam Position Monitors System,Beam_Position_Monitor_BPM_Controls_Functional_Requirements.pdf page 2
BPM,Beam Position Monitor System,Bunch_Length_Monitor_BLEN_Controls_Functional_Requirements.pdf page 2
BPM,Bunch Position Monitor,HPS_Common_Platform_Functional_Requirements_Specification.pdf page 2
BPM,Beam Position Monitor,LCLS-II_LTU_Work_in_Confined_Areas.pdf page 2
BPN21:635:A,Bypass S21-23,Procedure_for_Gain_Adjustments_for_LBLMs_Covering_the_Cryomodules_and_the_Bypass_Line.pdf page 10
BPN23:739:A,Bypass S23-25,Procedure_for_Gain_Adjustments_for_LBLMs_Covering_the_Cryomodules_and_the_Bypass_Line.pdf page 10
BPN25:739:A,Bypass S25-27,Procedure_for_Gain_Adjustments_for_LBLMs_Covering_the_Cryomodules_and_the_Bypass_Line.pdf page 10
BPN27:739:A,Bypass S27-29,Procedure_for_Gain_Adjustments_for_LBLMs_Covering_the_Cryomodules_and_the_Bypass_Line.pdf page 10
BPV,Boiler and Pressure Vessel,CDR-full.pdf page 508
BPVC,Boiler & Pressure Vessel Code,LCLSII-HE-1.2-TS-0206.pdf page 8
BPVC,Boiler and Pressure Vessel Code (ASME),LCLSII-HE-1.3-TS-0393.pdf page 6
BRCUS1,BEND:CLTS:765,LCLS-II_LCLS_CLTS.pdf page 5
BRCUS1,BEND,CLTS_Magnet_Power_Supplies.pdf page 3
BS,Bremsstrahlung Shielding,LCLSII-3.5-TS-0017_-_Photon_Source_and_Systems_Nomenclature.pdf page 6
BS,BEAM STOPPERS,Linac_Housing_Sectors_11-30_RDS.pdf page 8
BS,BEAM STOPPER,Linac_Housing_Sectors_11-30_RDS.pdf page 8
BSA,Beam Synchronous Acquisition. Collects data in the same clock pulse from many devices in the accelerator.,HPS_for_the_XTES_GMD_upgrade_and_XGMD_FR.pdf page 2
BSA,Beam Synchronous Acquisition (asynchronous buffered data transmissions),LCLS-II_X-ray_Transport_and_Experimental_Systems_Controls_Engineering_Specifications.pdf page 3
BSA,Beam-synchronous acquisition,LCLS-II_General_Motion_and_Fast_Wire_Scanner_Controls_ESD.pdf page 3
BSA,Beam Synchronous Acquisition,Beam_Position_Monitor_BPM_Controls_Functional_Requirements.pdf page 2
BSC,Beam Stay Clear,LCLSII-HE-1.3-PR-0022.pdf page 2
BSI,Boot Strap Interface,High_Performance_System_Common_Platform_to_Timing_MPS_Diagnostics_ICD.pdf page 2
BSOIC,Beam Shut-Off Ion Chamber,LCLS-II_LCLS_CLTS.pdf page 2
BSOIC,Beam Shut Off Ion Chamber,LCLSII-HE-1.1-QA-0230.pdf page 6
BSOIC,Beam Shutoff Ion Chamber,Radiation_Protection_Requirements_for_Linac_Penetrations.pdf page 3
